 Rank,State,Number of Railroads
1,Pennsylvania,59
2,Texas,54
3,Illinois,47
T4.,Indiana,43
T4.,Ohio,43
6,New York,38
T7.,Georgia,29
T7.,Washington,29
9,Michigan,28
T10.,California,27
T10.,Mississippi,27
T10.,Tennessee,27
13,Alabama,25
14,Arkansas,24
T15.,North Carolina,22
T15.,Oregon,22
17,Louisiana,21
T18.,Minnesota,19
T18.,New Jersey,19
20,Oklahoma,18
T21.,Iowa,17
T21.,Missouri,17
23,Florida,16
24,Kentucky,15
T25.,Colorado,14
T25.,Kansas,14
27,Massachusetts,13
T28.,South Carolina,11
T28.,South Dakota,11
T28.,West Virginia,11
T31.,Arizona,10
T31.,Idaho,10
T31.,Nebraska,10
T31.,New Hampshire,10
T31.,Vermont,10
T31.,Virginia,10
T37.,Maryland,9
T37.,Wisconsin,9
T39.,Connecticut,8
T39.,Utah,8
T41.,Maine,7
T41.,Montana,7
T41.,North Dakota,7
T44.,Delaware,6
T44.,New Mexico,6
T44.,Wyoming,6
T47.,Dist. of Columbia,2
T47.,Nevada,2
T49.,Alaska,1
T49.,Rhode Island,1
T50.,Hawaii,0
