Rank,State,Retirement Payments ($ mil)
1,Texas,$956
2,Illinois,$808
3,Florida,$759
4,Pennsylvania,$745
5,California,$610
6,New York,$543
7,Ohio,$537
8,Missouri,$487
9,Nebraska,$453
10,Georgia,$451
11,Virginia,$395
12,Indiana,$390
13,Kansas,$356
14,Kentucky,$339
15,Minnesota,$331
16,Tennessee,$309
17,Michigan,$306
18,Washington,$268
19,Arizona,$257
20,Arkansas,$257
21,New Jersey,$246
22,North Carolina,$241
23,Alabama,$240
24,Colorado,$233
25,Wisconsin,$233
26,Iowa,$232
27,Maryland,$214
28,West Virginia,$190
29,Louisiana,$189
30,Oregon,$184
31,South Carolina,$183
32,Montana,$166
33,Mississippi,$137
34,Utah,$130
35,Oklahoma,$123
36,Idaho,$122
37,Wyoming,$116
38,New Mexico,$102
39,Massachusetts,$99
40,North Dakota,$87
41,Nevada,$80
42,Connecticut,$77
43,Delaware,$72
44,Maine,$50
45,South Dakota,$50
46,New Hampshire,$23
47,Rhode Island,$16
48,Vermont,$14
49,District of Columbia,$8
50,Alaska,$4
51,Hawaii,$4
